"Public Price","Product/Barcode"
"14.790000000000001","22517507353"
"9.370000000000001","26851007159"
"8.34","26851071617"
"11.84","26851071624"
"16.88","26851071648"
"9.01","26851780212"
"4.57","28224"
"6.05","317163040874"
"15.06","3182550402149"
"13.41","3182550402170"
"54.27","3182550402217"
"4.42","3182550402408"
"3.77","3182550402439"
"54.1","3182550402613"
"15.290000000000001","3182550702201"
"51.980000000000004","3182550702249"
"18.12","3182550702317"
"17.06","3182550702423"
"18.12","3182550702614"
"61.52","3182550702621"
"24.7","3182550702793"
"57.63","3182550702973"
"34.7","3182550703079"
"28.82","3182550704533"
"2.59","3182550704618"
"15.65","3182550704625"
"17.06","3182550706827"
"24.7","3182550706933"
"58.22","3182550706940"
"51.75","3182550707046"
"45.29","3182550707077"
"2.59","3182550707305"
"18.12","3182550707312"
"21.900000000000002","3182550708180"
"10.82","3182550708197"
"11.53","3182550708203"
"15.89","3182550709972"
"15.290000000000001","3182550710640"
"18.12","3182550710688"
"21.92","3182550710862"
"48.22","3182550715645"
"15.290000000000001","3182550715737"
"45.87","3182550715744"
"15.76","3182550716857"
"39.85","3182550716888"
"42.93","3182550716949"
"46.46","3182550717045"
"17.06","3182550717137"
"11.18","3182550717335"
"12.94","3182550717397"
"2.3000000000000003","3182550719520"
"45.87","3182550719766"
"43.75","3182550719803"
"18.12","3182550721219"
"17.06","3182550721400"
"17.17","3182550721738"
"26.47","3182550721745"
"66.03","3182550721752"
"17.81","3182550722544"
"18.12","3182550722605"
"50.57","3182550725514"
"20.0","3182550727822"
"10.48","3182550727877"
"15.89","3182550728102"
"50.57","3182550732055"
"20.36","3182550732123"
"54.1","3182550732154"
"52.22","3182550732376"
"46.46","3182550732406"
"34.7","3182550736046"
"45.87","3182550736060"
"10.24","3182550737593"
"7.42","3182550738972"
"16.0","3182550743174"
"18.12","3182550743228"
"45.87","3182550743440"
"11.18","3182550743501"
"22.71","3182550743709"
"17.3","3182550752404"
"32.7","3182550756440"
"11.76","3182550761475"
"20.0","3182550768641"
"30.580000000000002","3182550773836"
"67.98","3182550773867"
"26.94","3182550774536"
"37.64","3182550774604"
"37.64","3182550774904"
"42.93","3182550778077"
"28.93","3182550778305"
"21.17","3182550778770"
"43.52","3182550778787"
"11.18","3182550782203"
"54.1","3182550782388"
"12.0","3182550784399"
"3.77","3182550792929"
"14.71","3182550793001"
"3.77","3182550793124"
"18.12","3182550793506"
"16.19","3182550793612"
"8.120000000000001","3182550793728"
"8.120000000000001","3182550793803"
"50.57","3182550803229"
"46.46","3182550803342"
"49.870000000000005","3182550803359"
"46.46","3182550803373"
"21.17","3182550811774"
"67.98","3182550816731"
"57.050000000000004","3182550837958"
"19.8","3182550842938"
"21.92","3182550893916"
"31.92","3182550894104"
"66.03","3182550902984"
"17.14","3182550902991"
"7.73","3182550917360"
"61.52","3380350135339"
"11.71","3380350136503"
"7.41","3380350136664"
"16.03","3380350144263"
"17.26","3380350144324"
"17.26","3380350144331"
"17.26","3380350144348"
"35.980000000000004","3380350154071"
"39.43","3380350154088"
"44.36","3380350154095"
"16.03","3380350155252"
"16.03","3380350155269"
"17.26","3380350155276"
"17.26","3380350155283"
"50.02","3380350155849"
"162.4","34264006720"
"7.41","35585009315"
"7.2700000000000005","35585010106"
"6.04","35585010113"
"7.2700000000000005","35585011127"
"5.3","35585011462"
"7.2700000000000005","35585011561"
"5.8","35585013268"
"7.2700000000000005","35585030937"
"17.02","35585034003"
"17.02","35585034010"
"9.86","35585034034"
"14.790000000000001","35585034041"
"19.72","35585034058"
"6.78","35585055510"
"6.04","35585055572"
"7.16","35585055602"
"16.77","35585081335"
"24.04","35585081342"
"14.790000000000001","35585110110"
"9.86","35585111124"
"13.8","35585111155"
"10.86","35585111254"
"7.2700000000000005","35585121123"
"16.64","35585121215"
"14.3","35585121314"
"4.44","35585121321"
"5.8","35585124018"
"5.8","35585124032"
"5.8","35585124056"
"5.8","35585124063"
"5.8","35585124087"
"13.56","35585129150"
"5.55","35585131214"
"16.64","35585141114"
"15.42","35585141213"
"11.71","35585141312"
"7.65","35585181127"
"11.96","35585181134"
"8.27","35585181141"
"12.09","35585190099"
